y_true,y_pred,residual,abs_err
7200000.0,2569310.5,4630689.5,4630689.5
10863999.999999987,8846535.0,2017464.999999987,2017464.999999987
6500000.0,4506549.0,1993451.0,1993451.0
7900000.0,9858373.0,-1958373.0,1958373.0
3325000.0,5259886.5,-1934886.5,1934886.5
5200000.0,7071079.0,-1871079.0,1871079.0
6500000.0,4830738.5,1669261.5,1669261.5
3675000.0,5224509.5,-1549509.5,1549509.5
10863999.999999987,9327253.0,1536746.999999987,1536746.999999987
6100000.0,7540878.0,-1440878.0,1440878.0
4000000.0,2576808.8,1423191.25,1423191.25
4200000.0,2807075.8,1392924.25,1392924.25
8100000.0,7005212.0,1094788.0,1094788.0
4475000.0,5519722.0,-1044722.0,1044722.0
2000000.0,3013814.0,-1013814.0,1013814.0
