y_true,y_pred,residual,abs_err
2800000.0,2921187.0,-121187.0,121187.0
2600000.0,3162694.8,-562694.75,562694.75
480000.0,582024.7,-102024.6875,102024.6875
451000.0,474212.66,-23212.65625,23212.65625
5500000.0,4727772.5,772227.5,772227.5
799000.0,995860.75,-196860.75,196860.75
1115000.0,1252742.6,-137742.625,137742.625
545000.0,574516.8,-29516.8125,29516.8125
1925000.0,1877831.5,47168.5,47168.5
675000.0,622626.1,52373.875,52373.875
925000.0,794844.2,130155.8125,130155.8125
880000.0,822946.8,57053.1875,57053.1875
2175000.0,2205622.2,-30622.25,30622.25
225000.0,292491.16,-67491.15625,67491.15625
755000.0,530508.8,224491.1875,224491.1875
215000.0,242738.89,-27738.890625,27738.890625
625000.0,861377.1,-236377.125,236377.125
1190000.0,1005906.56,184093.4375,184093.4375
1748999.0,1829678.6,-80679.625,80679.625
890000.0,885697.2,4302.8125,4302.8125
1325000.0,1139994.0,185006.0,185006.0
369000.0,340063.1,28936.90625,28936.90625
199000.0,466787.3,-267787.3125,267787.3125
750000.0,649735.56,100264.4375,100264.4375
400000.0,463326.06,-63326.0625,63326.0625
470000.0,525355.6,-55355.625,55355.625
650000.0,676392.9,-26392.875,26392.875
640000.0,863303.5,-223303.5,223303.5
1175000.0,1004080.0,170920.0,170920.0
6500000.0,4830738.5,1669261.5,1669261.5
850000.0,1079952.9,-229952.875,229952.875
390000.0,333828.78,56171.21875,56171.21875
1399000.0,1524820.8,-125820.75,125820.75
6500000.0,6644466.0,-144466.0,144466.0
7900000.0,9858373.0,-1958373.0,1958373.0
2196000.0,2245201.8,-49201.75,49201.75
254999.0,263002.94,-8003.9375,8003.9375
365000.0,431298.62,-66298.625,66298.625
325000.0,302417.12,22582.875,22582.875
1050000.0,1341995.6,-291995.625,291995.625
1125000.0,945880.7,179119.3125,179119.3125
1375000.0,1268803.9,106196.125,106196.125
166440.0,152648.2,13791.796875,13791.796875
1000000.0,1424719.2,-424719.25,424719.25
540000.0,563160.8,-23160.8125,23160.8125
1221000.0,1007828.5,213171.5,213171.5
1950000.0,1958199.0,-8199.0,8199.0
1775000.0,1520240.4,254759.625,254759.625
1450000.0,1308028.6,141971.375,141971.375
395000.0,337241.56,57758.4375,57758.4375
840000.0,871053.0,-31053.0,31053.0
375000.0,459768.62,-84768.625,84768.625
185000.0,219267.86,-34267.859375,34267.859375
7100000.0,6729765.5,370234.5,370234.5
450000.0,365305.75,84694.25,84694.25
8900000.0,9058440.0,-158440.0,158440.0
375000.0,412480.7,-37480.6875,37480.6875
875000.0,994544.3,-119544.3125,119544.3125
835000.0,904377.8,-69377.8125,69377.8125
825000.0,807013.94,17986.0625,17986.0625
1650000.0,1513592.1,136407.875,136407.875
8100000.0,7005212.0,1094788.0,1094788.0
434000.0,498393.8,-64393.8125,64393.8125
1875000.0,2314892.0,-439892.0,439892.0
475000.0,531753.3,-56753.3125,56753.3125
7390000.0,7452218.5,-62218.5,62218.5
6400000.0,7005212.0,-605212.0,605212.0
166440.0,247023.62,-80583.625,80583.625
865000.0,781651.5,83348.5,83348.5
750000.0,918675.0,-168675.0,168675.0
3375000.0,3175318.2,199681.75,199681.75
675000.0,867520.94,-192520.9375,192520.9375
550000.0,521021.4,28978.59375,28978.59375
3000000.0,2441987.0,558013.0,558013.0
590000.0,531358.4,58641.625,58641.625
4200000.0,4323301.5,-123301.5,123301.5
10863999.999999987,9327253.0,1536746.999999987,1536746.999999987
195000.0,343229.75,-148229.75,148229.75
3499000.0,3322001.0,176999.0,176999.0
735000.0,691856.94,43143.0625,43143.0625
3500000.0,2765212.5,734787.5,734787.5
2650000.0,2642805.2,7194.75,7194.75
375000.0,464358.75,-89358.75,89358.75
990000.0,1017717.4,-27717.375,27717.375
1075000.0,1185655.2,-110655.25,110655.25
1075000.0,848475.1,226524.875,226524.875
3400000.0,4160307.8,-760307.75,760307.75
515000.0,499231.34,15768.65625,15768.65625
649000.0,611916.7,37083.3125,37083.3125
575000.0,573847.3,1152.6875,1152.6875
300000.0,429979.28,-129979.28125,129979.28125
1789999.0,1905956.1,-115957.125,115957.125
345000.0,523342.94,-178342.9375,178342.9375
561000.0,595554.4,-34554.375,34554.375
235000.0,427375.22,-192375.21875,192375.21875
4600000.0,4221399.5,378600.5,378600.5
2600000.0,2984212.0,-384212.0,384212.0
2799000.0,3147486.2,-348486.25,348486.25
575000.0,413479.12,161520.875,161520.875
4475000.0,3716928.2,758071.75,758071.75
4500000.0,3820728.5,679271.5,679271.5
10863999.999999987,8846535.0,2017464.999999987,2017464.999999987
500000.0,449135.66,50864.34375,50864.34375
3675000.0,3631823.5,43176.5,43176.5
595000.0,538767.5,56232.5,56232.5
4100000.0,3912749.8,187250.25,187250.25
595000.0,555890.4,39109.625,39109.625
1800000.0,1458050.8,341949.25,341949.25
475000.0,520929.56,-45929.5625,45929.5625
565000.0,618384.3,-53384.3125,53384.3125
2811000.0,3271047.2,-460047.25,460047.25
250000.0,259102.53,-9102.53125,9102.53125
910000.0,892628.9,17371.125,17371.125
6100000.0,7540878.0,-1440878.0,1440878.0
620000.0,695080.0,-75080.0,75080.0
166440.0,589227.9,-422787.875,422787.875
499000.0,347217.16,151782.84375,151782.84375
250000.0,240865.78,9134.21875,9134.21875
275000.0,291088.4,-16088.40625,16088.40625
475000.0,842880.06,-367880.0625,367880.0625
960000.0,666541.94,293458.0625,293458.0625
475000.0,560239.8,-85239.8125,85239.8125
860000.0,730435.5,129564.5,129564.5
484999.0,496149.4,-11150.40625,11150.40625
299000.0,309825.97,-10825.96875,10825.96875
695000.0,616398.2,78601.8125,78601.8125
1080000.0,964672.6,115327.375,115327.375
1095000.0,1282758.2,-187758.25,187758.25
3950000.0,3720118.0,229882.0,229882.0
1375000.0,1400794.2,-25794.25,25794.25
625000.0,494313.88,130686.125,130686.125
950000.0,1389196.0,-439196.0,439196.0
1725000.0,1375769.6,349230.375,349230.375
484999.0,575401.1,-90402.125,90402.125
245000.0,264101.25,-19101.25,19101.25
275000.0,264887.6,10112.40625,10112.40625
690000.0,736287.2,-46287.1875,46287.1875
800000.0,707949.4,92050.625,92050.625
1550000.0,1493524.2,56475.75,56475.75
2650000.0,2828036.5,-178036.5,178036.5
345000.0,415530.0,-70530.0,70530.0
175000.0,270973.88,-95973.875,95973.875
5500000.0,4790555.0,709445.0,709445.0
1698999.0,1658087.5,40911.5,40911.5
5200000.0,5542310.5,-342310.5,342310.5
450000.0,639369.0,-189369.0,189369.0
445000.0,501470.38,-56470.375,56470.375
825000.0,828836.94,-3836.9375,3836.9375
545000.0,346318.97,198681.03125,198681.03125
450000.0,421208.44,28791.5625,28791.5625
1520000.0,1567193.0,-47193.0,47193.0
484999.0,479311.12,5687.875,5687.875
