y_true,y_pred,residual,abs_err
17478000.000000067,9759453.0,7718547.000000067,7718547.000000067
8500000.0,4197054.0,4302946.0,4302946.0
9000000.0,5471714.5,3528285.5,3528285.5
9300000.0,12368397.0,-3068397.0,3068397.0
14900000.0,11863612.0,3036388.0,3036388.0
17478000.000000067,15008160.0,2469840.000000067,2469840.000000067
7000000.0,9322855.0,-2322855.0,2322855.0
2765000.0,5001083.5,-2236083.5,2236083.5
5400000.0,3303527.0,2096473.0,2096473.0
3325000.0,5417232.0,-2092232.0,2092232.0
4459000.0,2461457.0,1997543.0,1997543.0
9000000.0,10997159.0,-1997159.0,1997159.0
4250000.0,6127731.0,-1877731.0,1877731.0
4200000.0,2354744.8,1845255.25,1845255.25
625000.0,2266916.8,-1641916.75,1641916.75
